,Name,Linea,Lon,Lat,UTM
500,carretera dilar - rotonda avenida ilustracion,SN4,-3.6021023610300005,37.1493705957,"(446532.00772659696, 4111612.406429428)"
501,Ctra Huetor Vega 20 - Villa Argaz,S2,-3.58282432727,37.1538476649,"(448247.00655015465, 4112098.3913135724)"
502,Ctra Malaga - Las Torres,NOCTURNA,-3.6197766741,37.1887789552,"(444991.04711211723, 4115994.405592077)"
503,Ctra Malaga - Las Torres,N1,-3.6197766741,37.1887789552,"(444991.04711211723, 4115994.405592077)"
504,Ctra Malaga - Las Torres,U1,-3.6197766741,37.1887789552,"(444991.04711211723, 4115994.405592077)"
505,Ctra Malaga - Las Torres,SN4,-3.6197766741,37.1887789552,"(444991.04711211723, 4115994.405592077)"
506,Ctra de Malaga - Villarejo 1,NOCTURNA,-3.61545937941,37.1885129867,"(445374.0457367275, 4115962.4026356535)"
507,Ctra de Malaga - Villarejo 1,N1,-3.61545937941,37.1885129867,"(445374.0457367275, 4115962.4026356535)"
508,Ctra de Malaga - Villarejo 1,U1,-3.61545937941,37.1885129867,"(445374.0457367275, 4115962.4026356535)"
509,Ctra de Malaga - Villarejo 1,SN4,-3.61545937941,37.1885129867,"(445374.0457367275, 4115962.4026356535)"
510,Ctra Malaga - Villarejo 2,NOCTURNA,-3.6155599711200015,37.1884133111,"(445365.04567547824, 4115951.402747437)"
511,Ctra Malaga - Villarejo 2,N1,-3.6155599711200015,37.1884133111,"(445365.04567547824, 4115951.402747437)"
512,Ctra Malaga - Villarejo 2,U1,-3.6155599711200015,37.1884133111,"(445365.04567547824, 4115951.402747437)"
513,Ctra Malaga - Villarejo 2,SN4,-3.6155599711200015,37.1884133111,"(445365.04567547824, 4115951.402747437)"
514,Ctra Murcia - Carmenes de Rolando 1,N8,-3.59685520938,37.185272878,"(447023.03796349914, 4115592.390615393)"
515,Ctra Murcia - Carmenes de Rolando 1,N9,-3.59685520938,37.185272878,"(447023.03796349914, 4115592.390615393)"
